Pathway	AICA RIBONUCLEOTIDE	AKT INHIBITOR VIII	AXITINIB	BI-2536	BMS-536924	BORTEZOMIB	CAMPTOTHECIN	CETUXIMAB_GEFITINIB	CHIR-99021	CISPLATIN	DOCETAXEL_PACLITAXEL	DORAMAPIMOD	DOXORUBICIN	EMBELIN	ENZASTAURIN	ERLOTINIB	FLUOROURACIL	FULVESTRANT	GEMCITABINE	GSK269962A	IRINOTECAN	JQ1	KU-55933	LENALIDOMIDE	LESTAURTINIB	LINSITINIB	METHOTREXATE	MK-2206	MOTESANIB	NAVITOCLAX	NILOTINIB	OBATOCLAX MESYLATE	PALBOCICLIB	PF-562271	RO-3306	RUXOLITINIB	SELUMETINIB_TRAMETINIB	SGC0946	SORAFENIB	TALAZOPARIB_VELIPARIB	TANESPIMYCIN	VINBLASTINE	VORINOSTAT	XAV939
REACTOME_REGULATION_OF_SIGNALING_BY_CBL	0.207290369451	-1.09428444909	-1.24793413402	1.16227842261	-0.881776462953	1.95375967579	-0.119158646188	-0.340528841757	-0.432272614236	-0.30937025353	-1.65645584338	-1.74791383751	3.49149796336	0.41040108083	2.17819575398	-0.319398048444	0.965143684606	-0.771295229947	2.07114059682	-1.94303122087	0.569877673552	0.269761329459	3.64495737776	-0.0628151274366	-4.19676539392	-0.883066174118	-0.092038892458	-0.820708847802	-1.99620186871	-0.485544627979	-0.766356044735	-1.87642674646	0.315464527824	-1.45041062093	2.52286351561	-0.628179312566	-1.60639645604	1.7060471997	-0.614766641585	-0.586303466559	-0.838001903942	1.12030238145	3.25000629691	0.210582861379
REACTOME_IRAK1_RECRUITS_IKK_COMPLEX	-0.193839568456	-2.02530803582	-0.647928976159	0.164817960516	-1.68263993578	0.933644817415	-0.44363648789	-0.880210740882	-1.26711301405	0.589892167641	0.353363482758	-2.19264504827	1.27416184991	-2.15923382757	-1.50573964194	-1.07676380412	0.420259505531	-1.23738956481	1.26893617589	0.304037156345	-0.0213857880919	0.331146103522	-1.82944987324	-0.566479344543	-1.30014309652	-1.60077834537	-0.464054237527	-1.51168383732	-1.72275401851	-0.203168247957	0.636033708438	0.352153704617	-2.27289270966	0.462985599829	0.987876096132	0.984847214005	0.535905416114	-0.894105242274	0.63010872745	-2.76041413735	-0.181007714444	1.15567270533	1.12585547952	-0.300618214883
REACTOME_LIPID_DIGESTION_MOBILIZATION_AND_TRANSPORT	0.609424250731	1.8238475399	0.409468766402	0.407272468406	-0.764713053297	2.04937710943	-1.9779651904	-0.111299273563	-1.70219877467	-1.89804204307	-0.943064096109	0.701693509355	1.57785424923	0.777214980367	0.87071107749	0.0624825686791	1.1396712573	-0.679697215011	2.63876530827	-1.28282259833	-0.312491515083	0.906993526031	2.41853572818	2.86069261563	0.580544899493	-0.804640576898	0.372911114781	1.16523880387	-0.400541586124	-1.27041630348	-0.651537738356	0.174737162618	-0.849340105661	0.464760792386	-0.131506646088	1.42652272046	-1.20948800621	-0.106123834307	0.825359470081	1.36711652272	-0.671228933103	-0.980457527874	2.57462942936	0.898670652576
REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX	0.546779789965	2.6623396621	1.6564433325	-2.56582324065	1.08343180995	-0.946365891999	-2.10194053271	2.47847879613	3.31999842897	1.94238687503	0.464805601513	0.629241448748	0.93335266524	0.716714334932	-0.543541730947	1.65010776899	-0.768161838163	-0.804640576898	-0.99707354902	1.20699064363	-1.91113805289	0.572793139142	-0.754889867938	0.0503753261628	1.1124097264	1.10114950993	-2.0853542179	2.49122754029	1.7812855011	-0.179637100425	-0.81819868113	0.0936001595407	-0.970748869387	1.76564806657	-0.346151453366	2.41539710082	1.38639604813	-0.22889138652	1.68536699373	-1.50401179115	-0.898208742109	0.416402933068	2.12889850115	0.736958263136
REACTOME_PI3K_CASCADE	-1.01006638056	-2.21473520848	-0.614939291274	0.933323005386	-0.504452641044	3.62449187741	0.609178422961	-0.0391234094703	-1.44355435783	-0.386252671389	-0.289348998852	-0.70948533452	1.60158269234	1.29611746271	2.63350009353	0.223131293934	1.86631859518	-0.421446500286	2.1892726637	-0.882951625127	1.46435306429	0.395328139343	-0.442913364896	0.437337470992	-2.89018727536	-0.435375673598	0.555853785293	-2.65789285258	-0.865709886655	-2.16621159323	-0.325298202185	-0.982690645849	1.28750546462	-0.619291732548	-0.0824370798666	-0.438297434988	-0.827302137399	0.178383713909	0.22285985833	0.515526287605	-0.372911114781	4.86298111356	4.44736263431	1.35841579092
REACTOME_RECYCLING_OF_BILE_ACIDS_AND_SALTS	-0.910656274557	-1.41666620828	-1.8058256153	-1.13398735498	-0.310573687872	-0.142575317483	-1.1142134276	-1.80556212805	-0.887848685396	-3.73370798502	-2.62923675192	-0.672994072645	-0.499529367366	-0.812648337139	-1.0635479936	-3.4865074994	-0.252146388855	-2.32214926098	0.0982009877689	-0.637442967939	-0.886340248554	-1.65473287392	0.489402547396	0.701348456919	-1.75377946827	-0.319318162551	-1.1542852988	-1.3538101981	-1.80021746083	-2.45017080198	-0.245306296618	-2.23221884743	-0.477749497914	-0.191230550998	0.321952980907	0.230195834313	-0.566031024999	0.395782950309	-1.59971062577	-0.758798108132	-2.88696843252	-0.564370682353	-0.216837946911	1.36217147837
REACTOME_PHASE_II_CONJUGATION	-0.944394661287	0.243321225615	1.07368893085	1.17182559032	0.75	1.1738414656	0.429902003598	1.15604870059	0.761675408646	-0.632683227207	0.469237114444	0.842276442365	2.04892597827	-1.2733507283	1.7889429427	-0.446398042233	-1.27733274732	0.758157733988	-0.0461193573902	0.965216441214	1.03720606959	0.827632156584	0.274351630584	2.67784312063	1.92905392849	0.751628383523	-1.87787172417	-0.137699237066	1.22541616268	0.666012553775	0.722544126833	1.07523069403	0.750049322052	0.866614689248	1.11904077328	0.81708318713	1.06127142136	-0.163367387339	1.20152039519	1.1629199355	1.42248120203	0.611818503031	1.49268540999	1.13232389256
REACTOME_NEGATIVE_REGULATION_OF_FGFR_SIGNALING	0.753534461711	-0.661793890443	-0.947312600725	0.621085068186	-0.700223511261	-0.659707830054	0.374531805082	0.068291689863	0.0262401822684	0.410097340052	-1.61002089723	0.90118333096	2.15901666955	-1.09034168835	-0.685248791368	0.188676192196	1.2020764431	-0.575810665731	1.60420383846	-1.3209336542	-0.14163312618	1.06885943266	-0.211971883548	0.330918425897	-3.21932509346	-0.645314338056	0.417448813889	-0.407728559775	-1.43668950333	-1.1005102167	-0.552705191509	0.22899781451	2.67348500835	-0.854061431999	0.071941538256	-0.45103217994	-1.15327926645	0.00958970694591	-0.163984503658	-1.31563480028	-0.436654021318	-0.827090100399	2.99543039561	-1.7276711347
REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS	0.956989885505	4.38029796677	4.65920041986	-1.44170355568	4.22862836718	-3.75814467446	0.696014805818	0.35826272709	0.685394660913	2.81800723075	-0.809403654522	1.38122473838	0.285524873465	-0.592748978364	0.580967618887	0.611572401709	-0.25709547064	0.165354632375	0.171519776474	3.08052853154	0.160439520885	1.51209472694	-0.0316385998584	0.665603654504	2.4634191261	4.84038793028	0.726150455773	2.72738288505	4.17776822644	0.886605634795	3.74375668539	-0.937487746033	-0.0644691862577	3.9340233828	-2.46990099136	5.19951530557	1.77446982079	0.266107783759	3.64206786268	-0.789693761	0.342329235973	-1.81155674921	4.55189927748	-1.35424205271
REACTOME_GLUCONEOGENESIS	0.574065761008	-0.113250452417	-0.0550273485099	0.179272937659	-1.01005050379	1.48267980536	0.218989691206	-0.364724162857	-0.524096385542	-1.40105898193	-0.476312922093	0.688981032881	-0.707008864302	0.525104566044	1.30520541496	-0.198026358645	0.837506924274	-0.906362854916	1.01680789979	1.04125009039	-0.547609892163	0.670073205753	1.12586575405	2.5640724538	1.08535384107	-1.06404706759	0.207528274307	-0.956677286095	-0.91122883401	-1.55303273307	1.09223736255	-0.202583147374	-1.39475284923	-0.105017481035	-0.36844760485	0.29809337305	-1.70515286506	-0.278624209365	-0.769947186375	-0.348746020649	-0.958973096845	-1.54141397508	0.500447743201	0.78954395888
REACTOME_GLYCOPROTEIN_HORMONES	1.7158971208	0.677399289397	0.314966521865	2.96566623155	0.244346447099	0.455292186223	1.2937213103	0.683309607717	1.15777487896	0.129798967281	2.15609729357	-0.218662705833	2.48054969497	-0.229350458807	4.70829545162	1.15345776976	2.66777126018	-2.64696270105	3.28908152348	3.16136620961	2.32720369726	-0.0492506090717	0.103730984749	1.09500483849	0.7315727097	0.225350946938	1.26105485437	0.637803465207	0.0560357590462	1.59066899124	0.245911873333	-0.166441416562	0.275193563548	-0.0102304504203	0.631856813256	0.447326571022	0.163125228529	0.797509737286	1.26275549572	1.36230014718	2.2043215797	3.90897240248	3.61229633249	2.09170855075
REACTOME_NEGATIVE_REGULATION_OF_THE_PI3K_AKT_NETWORK	-2.18761185961	-4.85041694614	-1.9540421019	-2.10912596537	-1.41237227832	1.01442522808	-0.47397150332	-0.822614560025	-2.35370992313	-0.282075597221	-1.71890148708	-0.060356042221	1.27634087928	-2.1287191887	-1.12167062664	-0.896084231119	0.432143671967	-1.0737424066	1.23797783105	-2.59056384016	0.0213048138988	-0.544655316993	-1.49160782981	-0.573505573784	-2.25482135467	-1.4705219975	-0.505522906811	-4.02823888374	-2.66317925325	-3.35284766211	-1.07944171125	-2.41805136371	-0.610502759571	-0.947693259285	1.1435283804	-1.80125651295	-2.39117103315	-0.853829867351	-1.45384971582	-1.31479631293	-1.26665025407	-0.225974248441	1.35389259648	-0.356749632285
REACTOME_ASSOCIATION_OF_TRIC_CCT_WITH_TARGET_PROTEINS_DURING_BIOSYNTHESIS	0.351028383126	1.25787887646	0.17879978361	1.34390903478	1.02476004654	1.67873738156	0.0560357590462	2.4282816402	1.09897349941	1.84123872621	0.0746337533797	0.475001832572	-0.257372546203	0.566561458839	0.34320745853	1.42632540461	1.0763093499	1.1077777269	1.17422823023	1.09394541516	-0.620904146316	-0.47719307135	4.4054696986	-2.32986933404	1.11684131975	1.12685543372	0.107860041575	0.574455570951	0.410775690529	0.821016106068	1.03875024862	1.21239891927	1.4037321702	1.8980814467	-0.429923392272	2.63429733858	1.29377376145	1.9039307774	0.465741824952	1.02689622969	-0.962021710293	-0.522232967867	2.10288702296	0.368841732647
REACTOME_GPCR_LIGAND_BINDING	2.59020040714	0.944596353173	0.310714505892	4.03790787723	0.479629008029	0.290957186981	1.77464858306	0.504683211818	0.0284636552336	1.41640341073	1.96761466656	-0.0730864862165	3.06679194919	6.86035943125	5.59053473104	1.53592196962	7.65694947816	0.298872244841	6.17578949284	-0.0633724250524	2.75594195892	1.83430793892	6.69066718066	1.55713118723	1.34755735372	0.463890644068	1.82455592652	0.597614304667	0.300644930877	2.12265600421	0.280621901434	0.282921935983	4.2465522696	0.318050023596	0.561976739995	2.60055365692	0.456318113907	2.84514373576	1.46072453282	6.69391816704	4.54079241365	5.06189317715	8.41488379548	3.55756236769
REACTOME_SIGNALING_BY_BMP	0.327890943987	0.833493574337	-0.340523151465	-0.178067570533	-1.18974723928	-1.36598943064	0.00638166439189	-0.459848634488	-0.587987419225	1.40589135272	0.770568940651	0.477712457195	2.25934520988	-1.42042500652	0.437509688442	-0.391883714663	0.726379863398	-1.15604870059	1.98777600328	0.798165710053	0.581723149111	0.319398048444	1.38707483871	-0.142431980282	0.70264364957	-1.25354250547	-0.0434782608696	0.418702166118	-1.12628857897	0.540846091441	0.875662293522	1.15156482374	0.091813118098	1.34152824818	-0.393514124465	1.82442793055	1.00313682511	-0.431532321384	0.059939723606	-0.669470897813	1.90692801221	0.68112762618	0.41047544299	0.369539532754
REACTOME_PRE_NOTCH_TRANSCRIPTION_AND_TRANSLATION	0.60525212674	-0.992416351925	-1.1091786434	-2.36620248569	-0.76307174041	-0.905713650869	-2.1144593577	-0.126440503387	-0.232602017953	1.09600542344	-0.249669421217	-1.1737783011	-0.165571782716	-1.04786683268	-0.148946278927	-0.0149608258724	-0.91555190684	-0.717740562565	-0.979946160525	1.22390816944	-1.80497773079	-0.178645724347	-0.245450887458	0.168024765284	1.55016444372	-0.828473486366	-1.9900206092	-0.680745645705	-0.465939978006	-1.36018673668	-0.678125367907	-1.3315046974	-1.020213014	-1.18799758146	-0.112333378714	2.8413495587	0.0791276227356	-0.264076960424	-0.47194208218	-0.121306519424	-0.662683749401	0.620623769447	-1.61349288828	0.844496575472
REACTOME_COMPLEMENT_CASCADE	2.11379769609	1.18739707999	0.705836557346	2.64184591409	0.486640015013	0.781037653144	1.87697809076	1.06404706759	1.82704614885	-1.18837695393	-0.00889041946812	0.202818823332	1.61338304515	0.0879290447334	4.00123469255	0.556238417084	0.428904723239	-1.75555747129	2.82487406426	0.523089916285	1.62884460848	0.676085690138	2.88438093045	1.58589515073	0.97553810613	0.438644506434	1.79862806968	1.13662123781	0.625965190694	0.00895583239512	0.562543950463	-0.88569612476	2.4276159726	0.765678487379	1.07047781237	1.0781475583	0.545912955148	1.24625844499	0.704511103841	2.01770066505	1.17218255663	2.31075945103	3.28397549828	-0.0323054367406
